y.re:-0.513999,y.im:0.066282i
y.re:-0.513987,y.im:0.064723i
y.re:-0.513976,y.im:0.063166i
y.re:-0.513964,y.im:0.061609i
y.re:-0.513953,y.im:0.060054i
y.re:-0.513942,y.im:0.058500i
y.re:-0.513931,y.im:0.056947i
y.re:-0.513921,y.im:0.055395i
y.re:-0.513911,y.im:0.053844i
y.re:-0.513901,y.im:0.052294i
y.re:-0.513892,y.im:0.050745i
y.re:-0.513883,y.im:0.049198i
y.re:-0.513874,y.im:0.047651i
y.re:-0.513865,y.im:0.046105i
y.re:-0.513857,y.im:0.044559i
y.re:-0.513849,y.im:0.043015i
y.re:-0.513841,y.im:0.041472i
y.re:-0.513834,y.im:0.039929i
y.re:-0.513827,y.im:0.038387i
y.re:-0.513820,y.im:0.036846i
y.re:-0.513814,y.im:0.035306i
y.re:-0.513807,y.im:0.033766i
y.re:-0.513801,y.im:0.032227i
y.re:-0.513796,y.im:0.030688i
y.re:-0.513790,y.im:0.029150i
y.re:-0.513785,y.im:0.027613i
y.re:-0.513780,y.im:0.026076i
y.re:-0.513775,y.im:0.024539i
y.re:-0.513771,y.im:0.023003i
y.re:-0.513767,y.im:0.021468i
y.re:-0.513763,y.im:0.019933i
y.re:-0.513760,y.im:0.018398i
y.re:-0.513757,y.im:0.016864i
y.re:-0.513754,y.im:0.015329i
y.re:-0.513751,y.im:0.013796i
y.re:-0.513749,y.im:0.012262i
y.re:-0.513747,y.im:0.010729i
y.re:-0.513745,y.im:0.009196i
y.re:-0.513743,y.im:0.007663i
y.re:-0.513742,y.im:0.006130i
y.re:-0.513741,y.im:0.004598i
y.re:-0.513740,y.im:0.003065i
y.re:-0.513740,y.im:0.001532i
y.re:-0.513740,y.im:0.000000i
y.re:-0.513740,y.im:-0.001532i
y.re:-0.513740,y.im:-0.003065i
y.re:-0.513741,y.im:-0.004598i
y.re:-0.513742,y.im:-0.006130i
y.re:-0.513743,y.im:-0.007663i
y.re:-0.513745,y.im:-0.009196i
y.re:-0.513747,y.im:-0.010729i
y.re:-0.513749,y.im:-0.012262i
y.re:-0.513751,y.im:-0.013796i
y.re:-0.513754,y.im:-0.015329i
y.re:-0.513757,y.im:-0.016864i
